load_zone,TIMEPOINT,zone_demand_mw
Hubei,2025.01.23.22,10922.005534606169
Hubei,2025.01.23.23,10366.434352909931
Hubei,2025.01.24.00,10033.259226706943
Hubei,2025.01.24.01,9782.663154766165
Hubei,2025.01.24.02,9660.347702603603
Hubei,2025.01.24.03,9263.853593057751
Hubei,2025.01.24.04,9051.543486096627
Hubei,2025.01.24.05,8829.915335553658
Hubei,2025.01.24.06,8738.697838469281
Hubei,2025.01.24.07,8772.067553014409
Hubei,2025.01.24.08,9096.795724764344
Hubei,2025.01.24.09,9914.298358050168
Hubei,2025.01.24.10,10259.442117158293
Hubei,2025.01.24.11,10642.307865310544
Hubei,2025.01.24.12,10706.472812556696
Hubei,2025.01.24.13,11140.535964385614
Hubei,2025.01.24.14,11363.482335497614
Hubei,2025.01.24.15,11364.526130059949
Hubei,2025.01.24.16,11196.989174942419
Hubei,2025.01.24.17,11061.383942094955
Hubei,2025.01.24.18,10310.134576982648
Hubei,2025.01.24.19,9877.242065514716
Hubei,2025.01.24.20,10494.688627791507
Hubei,2025.01.24.21,11085.140452642152
Hubei,2025.01.24.22,10922.005534606169
Hubei,2025.01.24.23,10366.434352909931
Hubei,2025.01.25.00,10033.259226706943
Hubei,2025.01.25.01,9782.663154766165
Hubei,2025.01.25.02,9660.347702603603
Hubei,2025.01.25.03,9263.853593057751
Hubei,2025.01.25.04,9051.543486096627
Hubei,2025.01.25.05,8829.915335553658
Hubei,2025.01.25.06,8738.697838469281
Hubei,2025.01.25.07,8772.067553014409
Hubei,2025.01.25.08,9096.795724764344
Hubei,2025.01.25.09,9914.298358050168
Hubei,2025.01.25.10,10259.442117158293
Hubei,2025.01.25.11,10642.307865310544
Hubei,2025.01.25.12,10706.472812556696
Hubei,2025.01.25.13,11140.535964385614
Hubei,2025.01.25.14,11363.482335497614
Hubei,2025.01.25.15,11364.526130059949
Hubei,2025.01.25.16,11196.989174942419
Hubei,2025.01.25.17,11061.383942094955
Hubei,2025.01.25.18,10310.134576982648
Hubei,2025.01.25.19,9877.242065514716
Hubei,2025.01.25.20,10494.688627791507
Hubei,2025.01.25.21,11085.140452642152
Hubei,2025.01.25.22,10922.005534606169
Hubei,2025.01.25.23,10366.434352909931
Hubei,2025.01.26.00,10033.259226706943
Hubei,2025.01.26.01,9782.663154766165
Hubei,2025.01.26.02,9660.347702603603
Hubei,2025.01.26.03,9263.853593057751
Hubei,2025.01.26.04,9051.543486096627
Hubei,2025.01.26.05,8829.915335553658
Hubei,2025.01.26.06,8738.697838469281
Hubei,2025.01.26.07,8772.067553014409
Hubei,2025.01.26.08,9096.795724764344
Hubei,2025.01.26.09,9914.298358050168
Hubei,2025.01.26.10,10259.442117158293
Hubei,2025.01.26.11,10642.307865310544
Hubei,2025.01.26.12,10706.472812556696
Hubei,2025.01.26.13,11140.535964385614
